Malware;xVal; Score
027cc450ef5f8c5f653329641ec1fed9.exe;1;1.4
798{\_}abroad.exe;2;8.4
wirelesskeyview.exe;3;4.2
wmighost.dll;4;0.8
ydrHrp{\_}One.dll;5;1.6
yfoye{\_}dump.exe;6;0.6
7ZipSetup.exe;7;3.6
901FA02FFD43DE5B2D7C8C6B8C2F6A43{\_}SideBar.dll{\_};8;0.4
97C11E7D6B1926CD4BE13804B36239AC{\_}SideBar.dll.doc{\_};9;6.0
aapt.exe;10;0.2
abba{\_}-{\_}happy{\_}new{\_}year{\_}zaycev{\_}net.exe;11;2.0
ActivityAndrorat.apk;12;6.2
Adobe, Acrobat PDF Writer 3.exe;13;4.6
agent.exe;14;0.2
ami.com;15;1.6
1002.exe;16;6.8
Androrat.apk;17;6.0
AndroRat Binder{\_}Patched.exe;18;1.0
Andr.PegasusB.apk;19;0.0
bot.apk;20;0.0
Build.exe;21;0.8
cam.dll;22;0.4
Caterpillar.e.com;23;2.0
cerber.exe;24;14.8
ch.dll;25;0.8
counter.exe;26;1.0
1003.exe;27;6.8
decrypted{\_}inj{\_}services{\_}Win32.dll;28;0.8
decrypted{\_}inj{\_}services{\_}x64.dll;29;0.4
decrypted{\_}inj{\_}snake{\_}Win32.dll;30;0.8
decrypted{\_}inj{\_}snake{\_}x64.dll;31;0.4
decrypted{\_}rkctl{\_}Win32.dll;32;1.2
decrypted{\_}rkctl{\_}x64.dll;33;0.4
DELLXT.dll;34;0.6
dump1.exe;35;0.6
dumped.dll;36;0.8
dumped.exe;37;11.8
131.exe;38;0.6
Dustman.exe;39;0.6
DW20.dll;40;0.8
ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe;41;11.8
F897A65B.exe;42;2.0
Fake Intel (1).exe;43;12.4
fax{\_}390392029{\_}072514.exe;44;11.4
file{\_}4571518150a8181b403df4ae7ad54ce8b16ded0c.exe;45;12.6
FixKlez.com;46;6.2
FIX{\_}NIMDA.exe;47;4.4
fm.dll;48;1.2
21.exe;49;5.2
f-mydoom.exe;50;2.8
Friday{\_}the{\_}13th.408.com;51;2.6
Friday{\_}the{\_}13th.416.A.com;52;2.2
Friday{\_}the{\_}13th.416.B.com;53;2.2
Friday{\_}the{\_}13th.540.A.com;54;2.2
hostr.exe;55;7.8
hV46VA.dll;56;1.6
ING{\_}.apk;57;6.6
ING.apk;58;0.4
InstallBC201401.exe;59;7.6
2.dll;60;1.6
invoice{\_}2318362983713{\_}823931342io.pdf.exe;61;1.0
jpeg1x32.dll{\_}C2BA81C0DE01038A54703DE26B18E9EE;62;0.8
malware.exe;63;1.0
Mic.dll;64;0.8
MiniConfigBuilder.exe;65;0.4
Mono.Cecil.dll;66;1.0
NAudio.dll;67;1.0
njRAT.exe;68;5.4
Nyb{\_}Boot.ima;69;6.0
payload.dll;70;0.4
3{\_}4.exe;71;7.2
PDFXCview.exe;72;16.8
PlugX{\_}3C74A85C2CF883BD9D4B9F8B9746030F{\_}DW20.dll{\_};73;4.2
pw.dll;74;0.8
raffle.exe;75;1.6
Ransomware.Unnamed{\_}0.exe;76;11.0
sample.exe;77;4.8
sc2.dll;78;0.8
scanslam.exe;79;0.8
SCHDPL32.exe;80;2.2
shmgr.dll{\_}AD6590E0DF575228911852B1E401D46E;81;0.8
5a765351046fea1490d20f25.exe;82;9.2
signed.exe;83;3.2
slide.exe;84;0.8
soy.exe;85;0.4
strip-girl-2.0bdcom{\_}patches.exe;86;1.4
svchost.exe;87;6.0
UpdateCheck.exe;88;0.6
Vcffipzmnipbxzdl.exe;89;4.4
version.com;90;2.2
viking.apk;91;6.0
W32.Elkern.4926.exe;92;0.8
{71257279-042b-371d-a1d3-fbf8d2fadffa}.exe;93;1.0
W32{\_}Swen@MM.exe;94;2.2
Win32.AgentTesla.exe;95;13.6
Win32.DarkTequila.exe;96;3.8
win32.exe;97;0.8
Win32.GravityRAT.exe;98;4.0
Win32{\_}klez.exe;99;0.4
Win32.SofacyCarberp.exe;100;5.6
Win32.Wannacry.exe;101;1.2
Win32.WannaPeace.exe;102;7.0
win33.exe;103;5.6
