Signature;OccurrenceB;OccurrenceM
has{\_}authenticode; 65;7
has{\_}pdb; 29;9
pe{\_}unknown{\_}resource{\_}name; 30;8
antivm{\_}memory{\_}available; 45;28
injection{\_}process{\_}search; 11;6
antivm{\_}queries{\_}computername; 23;30
checks{\_}debugger; 13;20
pe{\_}features; 54;13
raises{\_}exception; 15;15
allocates{\_}rwx; 45;60
antivm{\_}disk{\_}size; 16;12
exe{\_}appdata; 18;22
queries{\_}programs; 14;6
deletes{\_}executed{\_}files; 2;8
peid{\_}packer; 47;24
origin{\_}langid; 5;4
generates{\_}crypto{\_}key; 3;13
recon{\_}fingerprint; 3;5
suspicious{\_}tld; 19;27
has{\_}wmi; 3;7
antivm{\_}network{\_}adapters; 10;13
privilege{\_}luid{\_}check; 12;25
wmi{\_}antivm; 1;2
antisandbox{\_}idletime; 2;9
antisandbox{\_}sleep; 10;18
antivm{\_}generic{\_}cpu; 2;6
networkdyndns{\_}checkip; 1;3
recon{\_}checkip; 1;1
packer{\_}entropy; 59;30
packer{\_}upx; 31;6
console{\_}output; 28;18
antisandbox{\_}foregroundwindows; 6;10
creates{\_}shortcut; 15;15
infostealer{\_}keylogger; 4;4
creates{\_}hidden{\_}file; 4;5
modifies{\_}proxy{\_}wpad; 3;9
multiple{\_}useragents; 2;1
infostealer{\_}ftp; 1;3
locates{\_}browser; 1;1
infostealer{\_}browser; 8;12
recon{\_}programs; 2;3
antivm{\_}vbox{\_}files; 6;7
antivm{\_}vbox{\_}keys; 3;11
suspicious{\_}process; 5;5
stealth{\_}window; 2;9
uses{\_}windows{\_}utilities; 3;14
persistence{\_}autorun; 9;18
process{\_}interest; 2;2
shutdown{\_}system; 1;1
rat{\_}hupigon; 1;5
antisandbox{\_}cuckoo{\_}files; 7;10
infostealer{\_}mail; 1;3
protection{\_}rx; 3;5
process{\_}needed; 1;1
antiav{\_}detectfile; 1;1
creates{\_}service; 4;3
antivm{\_}vbox{\_}devices; 1;1
ransomware{\_}message; 1;3
applcation{\_}raises{\_}exception; 2;1
injection{\_}resumethread; 1;7
ransomware{\_}extensions; 1;4
antidbg{\_}windows; 1;8
